Column1,Column2,Column3,Column4,Column5,ids_row
"капитальный ремонт кассового узла в административном здании отделения по еврейской автономной области, расположенного по адресу: еврейская автономная область г. биробиджан, проспект 60-летия образования ссср, 5",29924889.0,2020.0,Капитальный ремонт,62.0,
"капитальный ремонт кассового узла в административном здании отделения по еврейской автономной области, расположенного по адресу: еврейская автономная область г. биробиджан, проспект 60-летия образования ссср, 5",29924889.0,2021.0,Капитальный ремонт,62.0,
"1.административное здание г. биробиджан, пр-т 60-летия образования ссср,5 (16-01-01-00-03-003 (комп.))",491.0,2022.0,"Текущий ремонт зданий, сооружений",62.0,16-01-01-00-03-003
"16.административное здание г. биробиджан, пр-т 60-летия образования ссср,5 (16-01-01-00-03-003 (комп.))",491.0,2020.0,"Текущий ремонт зданий, сооружений",62.0,16-01-01-00-03-003
"административное здание г. биробиджан пр-т 60-летия  образования ссср, 5 (16-01-01-00-03-003 (комп.)) (ремонт помещений)",490.0,2021.0,"Текущий ремонт зданий, сооружений",62.0,16-01-01-00-03-003
"административное здание г. биробиджан пр-т 60-летия  образования ссср, 5 (16-01-01-00-03-003 (комп.)) (ремонт помещений)",317.0,2023.0,"Текущий ремонт зданий, сооружений",62.0,16-01-01-00-03-003
"22. подземная автостоянка, лит. д, г. петропавловск-камчатский, просп. к. маркса, 29/2 (24-05-01-00-00-003)",0.0,2019.0,"Текущий ремонт зданий, сооружений",66.0,24-05-01-00-00-003
"здание подземная автостоянка (лит. д), российская федерация, камчатский край, петропавловск-камчатский городской округ, город петропавловск-камчатский, проспект карла маркса, дом №29/2, строение № 1 (24-05-01-00-00-003)",0.0,2023.0,"Текущий ремонт зданий, сооружений",66.0,24-05-01-00-00-003
"подземная автостоянка, г. петропавловск-камчатский, просп. к. маркса, 29/2 (24-05-01-00-00-003) - замена оконных и дверных блоков, ремонт облицовки стен из керамической плитки, окраска стен, потолков, замена светильников",657.19,2021.0,"Текущий ремонт зданий, сооружений",66.0,24-05-01-00-00-003
"4.здание гаража (лит. в) отделения г. петропавловск-камчатский, ул. ленинская, 22 (24-05-01-00-00-006)",10.29,2022.0,"Текущий ремонт зданий, сооружений",68.0,24-05-01-00-00-006
"здание ркц мильково (лит. а, а1), российская федерация, камчатский край, мильковский муниципальный район, мильковское сельское поселение, село мильково. улица ленинская, дом № 33  (24-01-01-00-00-054)",181.82,2023.0,"Текущий ремонт зданий, сооружений",74.0,24-01-01-00-00-054
"1.помещения столовой в здании отделения г. петропавловск-камчатский, просп. к. маркса, 29/2 (24-03-01-00-01-002 (комп))",211.0,2020.0,"Текущий ремонт зданий, сооружений",114.0,24-03-01-00-01-002
"2.помещения столовой в здании отделения г. петропавловск-камчатский, просп. к. маркса, 29/2 (24-03-01-00-01-002 (комп))",383.41,2022.0,"Текущий ремонт зданий, сооружений",114.0,24-03-01-00-01-002
"3. помещения здравпункта в здании отделения г. петропавловск-камчатский, просп. к. маркса, 29/2 (24-03-01-00-01-002 (комп))",276.0,2019.0,"Текущий ремонт зданий, сооружений",114.0,24-03-01-00-01-002
"помещения столовой в здании отделения г. петропавловск-камчатский, просп. к. маркса, 29/2 (24-03-01-00-01-002 (комп)) - ремонт помещений; ремонт примыканий кровли",944.25,2021.0,"Текущий ремонт зданий, сооружений",114.0,24-03-01-00-01-002
"помещения столовой в здании отделения, российская федерация, камчатский край, петропавловск-камчатский городской округ, город петропавловск-камчатский, проспект карла маркса, дом № 29/2 (24-03-01-00-01-002 (комп)) (ремонт помещений)  ",370.35,2023.0,"Текущий ремонт зданий, сооружений",114.0,24-03-01-00-01-002
"13.здание лечебного корпуса, лит. ж (24-03-01-01-00-013 (груп.)) пансионата ""светлячок"" по адресу: камчатский край, елизовский район, с. паратунка, п. светлячок",201.6,2020.0,"Текущий ремонт зданий, сооружений",124.0,24-03-01-01-00-013
